0,"Genre(s): Role-Playing,                                            General,                                            Western-Style "
1,"Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Sci-Fi,                                            Sci-Fi,                                            Arcade "
2,"Genre(s): Modern,                                            Action Adventure,                                            Open-World "
3,"Genre(s): Sports,                                            Traditional,                                            Team,                                            Baseball,                                            Management,                                            Management,                                            Sim "
4,"Genre(s): Action,                                            Miscellaneous,                                            Shooter,                                            Compilation,                                            First-Person,                                            Sci-Fi "
5,"Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Sci-Fi,                                            Sci-Fi,                                            Arcade "
6,"Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Sci-Fi,                                            Sci-Fi,                                            Arcade "
7,"Genre(s): Role-Playing,                                            PC-style RPG,                                            PC-style RPG,                                            Western-Style "
8,"Genre(s): Role-Playing,                                            Western-Style "
9,"Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Sci-Fi,                                            Sci-Fi,                                            Arcade "
10,"Genre(s): Role-Playing,                                            First-Person,                                            First-Person,                                            Western-Style "
11,"Genre(s): Sci-Fi,                                            Strategy,                                            Real-Time,                                            Sci-Fi,                                            General,                                            Command "
12,"Genre(s): Role-Playing,                                            Action RPG,                                            Action RPG "
13,"Genre(s): Action Adventure,                                            Modern,                                            Modern,                                            Open-World "
14,"Genre(s): Strategy,                                            Turn-Based,                                            Historic,                                            General,                                            Historic,                                            4X "
15,"Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Sci-Fi,                                            Sci-Fi,                                            Arcade "
16,"Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Sci-Fi,                                            Sci-Fi,                                            Arcade "
17,"Genre(s): Role-Playing,                                            First-Person,                                            First-Person,                                            Western-Style "
18,"Genre(s): Role-Playing,                                            Action RPG "
19,"Genre(s): Adventure,                                            General,                                            General,                                            3D,                                            Third-Person,                                            Fantasy "
20,"Genre(s): Action RPG,                                            Role-Playing,                                            Western-Style "
21,"Genre(s): Role-Playing,                                            Action RPG,                                            Action RPG "
22,"Genre(s): Strategy,                                            Turn-Based,                                            Historic,                                            Historic,                                            4X "
23,"Genre(s): Action RPG,                                            Role-Playing,                                            Action RPG "
24,"Genre(s): Strategy,                                            Real-Time,                                            Historic,                                            General,                                            Historic "
25,"Genre(s): Puzzle,                                            Stacking "
26,"Genre(s): Action,                                            Shooter,                                            First-Person,                                            Arcade "
27,"Genre(s): Action RPG,                                            Role-Playing,                                            Western-Style "
28,"Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Sci-Fi,                                            Sci-Fi,                                            Arcade "
29,"Genre(s): Strategy,                                            Real-Time,                                            Sci-Fi,                                            Command "
30,"Genre(s): Action Adventure,                                            Adventure,                                            3D,                                            Sandbox,                                            First-Person,                                            Fantasy,                                            Fantasy "
31,"Genre(s): Action Adventure,                                            Open-World "
32,"Genre(s): Strategy,                                            Real-Time,                                            Sci-Fi,                                            Sci-Fi,                                            General,                                            Command "
33,"Genre(s): Action Adventure,                                            Modern,                                            Modern,                                            Open-World "
34,"Genre(s): Action Adventure,                                            Linear "
35,"Genre(s): Action,                                            Rhythm,                                            General,                                            Music "
36,"Genre(s): Action Adventure,                                            General,                                            Linear "
37,"Genre(s): Role-Playing,                                            Third-Person,                                            Third-Person,                                            General,                                            Western-Style "
38,"Genre(s): Role-Playing,                                            Miscellaneous,                                            Massively Multiplayer Online,                                            Massively Multiplayer,                                            Board / Card Game,                                            Fantasy,                                            Fantasy "
39,"Genre(s): Action Adventure,                                            Modern,                                            Modern,                                            Open-World "
40,"Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Modern,                                            Modern,                                            Arcade "
41,"Genre(s): Strategy,                                            Real-Time,                                            Fantasy,                                            General,                                            Fantasy "
42,"Genre(s): Strategy,                                            Real-Time,                                            Wargame,                                            Real-Time,                                            General "
43,"Genre(s): Simulation,                                            Miscellaneous,                                            Virtual Life,                                            Virtual,                                            Virtual Life "
